      0.00     0.1097E+07
      0.67     0.3693E+07
      1.33     0.7770E+07
      2.00     0.3186E+07
      2.67     0.8699E+06
      3.34     0.2016E+07
      4.00     0.2285E+07
      4.67     0.2687E+07
      5.34     0.4042E+07
      6.00     0.8909E+06
      6.67     0.2962E+07
      7.34     0.8725E+07
      8.01     0.3047E+08
      8.67     0.1795E+08
      9.34     0.4476E+07
     10.01     0.5301E+07
     10.67     0.1571E+08
     11.34     0.3138E+08
     12.01     0.1585E+08
     12.68     0.1725E+08
     13.34     0.7377E+07
     14.01     0.5316E+07
     14.68     0.1273E+08
     15.34     0.3243E+08
     16.01     0.4373E+08
     16.68     0.4967E+07
     17.35     0.1133E+08
     18.01     0.4011E+08
     18.68     0.2567E+08
     19.35     0.2310E+08
     20.02     0.9449E+08
     20.68     0.4392E+08
     21.35     0.2129E+08
     22.02     0.1126E+08
     22.68     0.3028E+08
     23.35     0.1266E+09
     24.02     0.5533E+08
     24.69     0.1303E+08
     25.35     0.5746E+08
     26.02     0.3981E+08
     26.69     0.1311E+08
     27.35     0.2685E+08
     28.02     0.3305E+08
     28.69     0.8166E+07
     29.36     0.6518E+07
     30.02     0.8554E+06
     30.69     0.2187E+07
     31.36     0.1755E+08
     32.02     0.8596E+07
     32.69     0.4807E+07
     33.36     0.1245E+08
     34.03     0.1142E+08
     34.69     0.5792E+07
     35.36     0.4551E+07
     36.03     0.5213E+07
     36.69     0.2756E+08
     37.36     0.5539E+08
     38.03     0.3097E+08
     38.70     0.1581E+07
     39.36     0.2184E+08
     40.03     0.1379E+08
     40.70     0.8646E+07
     41.36     0.1690E+08
     42.03     0.8206E+07
     42.70     0.4250E+07
     43.37     0.1894E+07
     44.03     0.3947E+07
     44.70     0.1606E+08
     45.37     0.2382E+08
     46.03     0.2855E+08
     46.70     0.5580E+07
     47.37     0.1124E+08
     48.04     0.4089E+08
     48.70     0.2400E+08
     49.37     0.4219E+08
     50.04     0.8431E+08
     50.70     0.1991E+08
     51.37     0.1469E+08
     52.04     0.3109E+08
     52.71     0.3685E+08
     53.37     0.3167E+08
     54.04     0.2052E+08
     54.71     0.4170E+08
     55.37     0.5463E+08
     56.04     0.2009E+08
     56.71     0.2032E+08
     57.38     0.1505E+08
     58.04     0.1316E+08
     58.71     0.3066E+08
     59.38     0.3972E+07
     60.05     0.1201E+08
     60.71     0.6008E+08
     61.38     0.6816E+07
     62.05     0.2339E+08
     62.71     0.7890E+08
     63.38     0.1098E+07
     64.05     0.2605E+08
     64.72     0.1566E+09
     65.38     0.7314E+08
     66.05     0.5648E+08
     66.72     0.1081E+09
     67.38     0.5099E+08
     68.05     0.2215E+08
     68.72     0.1385E+08
     69.39     0.1910E+08
     70.05     0.5199E+07
     70.72     0.4288E+08
     71.39     0.8047E+08
     72.05     0.9680E+08
     72.72     0.7860E+08
     73.39     0.6788E+07
     74.06     0.1152E+08
     74.72     0.2276E+08
     75.39     0.4746E+08
     76.06     0.4824E+07
     76.72     0.1578E+07
