3900.68  450
3932.00   60
3944.00 4500
3961.52 9000
3995.86  110
4226.81  290
4585.82  150
4588.19  110
4666.80  550
4898.76  110
4902.77  110
5280.21  150
5107.52   70
5283.77  290
5285.85  150
5312.32  110
5316.07  220
5371.84  150
5557.06  180
5557.95  110
5593.23  450
5853.62  110
5971.94  220
6001.76  290
6001.88  220
6006.42  450
6061.11  150
6068.43  290
6068.53  110
6073.23  450
6181.57  110
6181.68  150
6182.28  290
6182.45  220
6183.42  450
6201.52  450
6201.70  360
6226.18  290
6231.78  360
6243.36  450
6335.74  450
6696.02  360
6698.67  230
7083.97   60
7084.64   70
