3907.91  100
4037.59  100
4057.46  200
4098.89  100
4158.04  200
4180.10 1000
4193.15  500
4208.48  300
4209.47  100
4213.72  300
4215.60  100
4223.00  300
4238.25  400
4245.38  500
4251.57  100
4296.40  500
4310.51  500
4330.52 1000
4369.20  200
4373.78  100
4393.20  500
4395.77  500
4406.88  200
4416.07  150
4448.13  500
4462.19 1000
4480.86  500
4521.86  100
4734.15  600
4792.62  150
4807.02  500
4829.71  400
4843.29  300
4916.51  500
4923.15  500
4971.71  200
4972.71  400
4988.77  300
4991.17  100
5028.28  200
5044.92  200
5080.62 1000
5122.42  300
5125.70  100
5178.82  100
5188.04  300
5191.37  400
5192.10  100
5260.44  500
5261.95  500
5292.22 2000
5309.27  300
5313.87 1000
5339.33 2000
5363.20  200
5368.07  200
5372.39  500
5392.80  100
5419.15 3000
5438.96  800
5445.45  300
5450.45  200
5460.39  400
5472.61 1000
5494.86  100
5525.53  200
5531.07  600
5566.62  100
5616.67  300
5659.38  300
5667.56  600
5670.91  150
5695.75  100
5699.61  200
5716.10  200
5726.91  500
5751.03  500
5758.65  300
5776.39  300
5815.96  100
5823.89  300
5824.80  150
5875.02  100
5893.29  300
5894.99  100
5905.13  200
5934.17  100
5945.53  500
5971.13  300
5976.46 2000
6008.92  200
6036.20 1000
6051.15 2000
6093.50  600
6097.59 1500
6101.43  400
6115.08  100
6146.45  100
6178.30  150
6179.66  120
6182.42  300
6194.07  500
6198.26  100
6220.02  100
6270.82  500
6277.54  400
6284.41  100
6286.01  100
6300.86  250
6318.06  500
6343.96  400
6356.35  600
6375.28  200
6397.99  100
6469.70  300
6472.84  150
6487.76  120
6498.72  100
6504.18  200
6512.83  300
6528.65  200
6533.16  100
6595.01 1000
6595.56  100
6597.25  400
6598.84  100
6668.92  150
6694.32  300
6728.01  200
6788.71  150
6790.37  100
6805.74 1000
6827.32  200
6872.11  100
6882.16  300
6910.22   80
6925.53  100
6942.11  800
6976.18  100
6990.88 2000
7082.15  150
