3902.00  285
3933.30  360
4120.80  450
4142.30  280
4145.10  360
4153.10  450
4162.70  450
4694.10  450
4695.40  285
4696.20  160
4716.20  280
4815.50  450
4924.10  360
4925.30  450
4993.50  285
5428.60  360
5432.80  650
5453.80 1000
5473.60 1000
5509.70 1000
5564.90  280
5606.10 1000
5640.00  450
5640.30  450
5647.00  280
5659.90  650
5664.70  450
5706.10  160
5819.20  450
6052.70  450
6286.40  280
6287.10  450
6305.50  450
6312.70  450
6384.90  280
6397.30  280
6398.00  280
6413.70  360
6743.60  160
6748.80  285
6757.20  450
7579.00  450
