4030.38  1300
4032.38   300
4077.71 46000
4161.80   200
4215.52 32000
4305.45   340
4438.04   350
4607.33 65000
4722.28  3200
4741.92  2200
4784.32  1400
4811.88  4800
4832.08  3600
4855.04   500
4868.70   600
4872.49  3000
4876.06   600
4876.32  2000
4891.98  1000
4962.26  8000
4967.94  1300
5156.07   800
5222.20  1400
5225.11  2000
5229.27  2000
5238.55  2800
5256.90  4800
5329.82   350
5450.84  1500
5480.84  7000
5486.12  1100
5504.17  3500
5521.83  2600
5534.81  2000
5540.05  2000
5543.36   250
5970.10   200
6345.75   250
6363.94   250
6369.96   350
6380.75  1000
6386.50   900
6388.24   600
6408.47  9000
6446.68   250
6465.79   250
6504.00  5500
6546.79  1000
6550.26  1700
6617.26  3000
6643.54   800
6791.05  1800
6878.38  4800
6892.59  1200
